cpu_percent,memory_percent,requests_per_sec,current_replicas,response_time_ms,queue_depth,scale_action
82.33,76.52,947.71,5,1588.42,365,scale_up
34.08,60.12,292.71,3,748.73,38,no_change
87.51,69.33,809.43,1,2413.82,262,scale_up
86.64,76.25,758.91,5,1975.97,245,scale_up
75.72,68.3,858.5,5,1851.42,268,scale_up
58.63,41.07,168.69,2,538.81,26,no_change
75.0,48.57,364.59,4,625.32,15,no_change
28.92,71.73,275.22,4,403.42,36,no_change
81.41,78.35,912.42,1,1927.69,477,scale_up
100.0,72.5,891.8,4,1500.0,92,scale_up
84.13,82.94,632.06,5,2799.62,414,scale_up
56.52,45.24,342.37,2,511.0,43,no_change
93.76,88.12,856.01,1,2444.68,211,scale_up
27.84,72.0,290.06,2,753.76,19,no_change
21.0,28.08,18.57,8,103.98,19,scale_down
75.0,27.21,190.24,5,606.49,12,no_change
50.67,41.9,361.61,3,735.31,66,no_change
14.85,17.85,49.33,6,125.13,8,scale_down
24.53,54.51,376.58,5,576.91,67,no_change
20.0,41.42,390.57,5,384.26,11,no_change
60.44,43.32,298.12,4,497.12,69,no_change
32.97,71.51,381.58,4,696.71,53,no_change
91.36,84.02,941.62,4,1934.44,229,scale_up
94.64,90.31,857.07,3,2084.8,136,scale_up
76.44,81.83,1052.74,4,1735.67,492,scale_up
92.13,76.23,742.09,1,1729.82,248,scale_up
8.98,25.17,73.13,7,161.79,16,scale_down
10.99,11.17,51.85,4,131.75,15,scale_down
86.48,77.43,755.65,3,2263.58,500,scale_up
87.47,89.79,749.45,5,2418.2,131,scale_up
29.43,24.58,84.93,10,118.97,3,scale_down
39.19,47.61,294.71,4,760.62,76,no_change
9.16,19.29,82.24,4,160.78,12,scale_down
84.92,81.91,630.87,5,1742.5,60,scale_up
26.18,53.1,391.89,6,714.84,68,no_change
67.15,71.81,314.46,4,590.31,50,no_change
72.14,39.48,182.15,2,549.17,76,no_change
81.81,80.39,672.5,4,2347.89,427,scale_up
10.45,29.83,14.16,8,143.03,1,scale_down
82.66,81.85,939.01,3,2306.48,96,scale_up
48.07,60.37,384.3,4,640.38,22,no_change
55.81,59.7,135.61,4,547.38,23,no_change
55.64,45.63,271.19,5,656.24,7,no_change
18.18,23.74,26.23,3,79.11,11,scale_down
62.07,38.86,218.85,2,464.74,47,no_change
67.27,53.18,334.25,3,703.43,61,no_change
49.36,65.19,180.32,5,437.16,27,no_change
5.87,23.37,65.19,7,126.37,19,scale_down
46.51,69.02,230.56,5,644.31,10,no_change
80.2,88.77,894.26,3,1640.43,82,scale_up
12.91,3.37,77.01,4,252.37,9,scale_down
70.0,68.58,825.1,1,2192.62,277,scale_up
43.84,23.94,332.34,6,733.13,15,no_change
35.0,30.46,11.04,3,149.41,1,scale_down
19.74,14.49,73.4,4,185.17,8,scale_down
93.66,86.42,842.77,3,1944.83,345,scale_up
4.66,21.75,37.88,6,134.64,19,scale_down
66.83,70.53,176.46,5,568.44,55,no_change
11.53,22.52,1.0,4,76.96,1,scale_down
84.18,86.29,811.29,1,2468.6,493,scale_up
16.58,30.21,94.58,4,111.98,10,scale_down
91.19,84.06,1175.7,4,1880.87,271,scale_up
84.18,71.74,654.06,4,2354.23,228,scale_up
53.08,58.12,351.98,2,564.65,73,no_change
46.36,35.44,229.88,2,591.48,62,no_change
52.96,60.66,360.89,6,833.56,37,no_change
78.19,78.14,667.2,3,2710.91,238,scale_up
10.98,29.24,93.58,9,170.67,3,scale_down
17.34,20.31,40.49,9,128.13,15,scale_down
13.82,34.6,18.74,3,160.23,13,scale_down
20.69,17.72,62.48,5,74.77,2,scale_down
69.88,66.97,290.16,3,468.02,27,no_change
21.34,10.82,19.86,6,147.32,9,scale_down
27.14,25.12,30.59,4,65.9,8,scale_down
85.29,82.01,789.08,5,2922.56,457,scale_up
84.08,65.0,738.93,3,2381.86,131,scale_up
18.1,18.59,39.73,5,50.02,11,scale_down
51.29,44.92,324.92,6,673.69,33,no_change
93.69,72.36,605.9,4,1970.41,193,scale_up
38.97,37.62,444.49,2,622.26,72,no_change
75.0,49.95,182.81,2,478.77,26,no_change
65.37,32.99,355.79,2,546.49,49,no_change
7.56,31.09,32.34,7,108.62,9,scale_down
48.82,42.38,521.5,5,759.05,80,no_change
41.14,42.87,100.0,6,620.61,74,no_change
79.77,80.7,505.06,2,2189.3,393,scale_up
75.0,50.81,222.53,4,596.93,56,no_change
49.04,75.0,266.72,2,419.51,73,no_change
85.15,81.56,884.34,1,2502.3,430,scale_up
98.69,75.23,697.02,5,1500.0,326,scale_up
89.63,72.9,933.76,3,2003.35,301,scale_up
75.0,28.5,402.29,2,735.58,13,no_change
57.9,33.24,353.12,3,619.03,11,no_change
22.55,73.37,265.44,5,822.18,35,no_change
14.46,27.86,24.21,6,160.72,11,scale_down
52.16,45.15,213.08,6,200.0,50,no_change
37.31,60.51,160.48,6,421.78,18,no_change
74.96,81.67,665.99,4,2688.14,274,scale_up
61.02,53.0,330.39,2,485.56,60,no_change
38.56,60.67,391.34,3,705.34,78,no_change
11.24,16.87,22.05,8,188.41,17,scale_down
20.58,20.0,100.0,3,278.6,54,no_change
70.36,61.8,180.14,2,584.11,21,no_change
71.99,57.5,511.44,3,582.86,53,no_change
9.76,11.35,50.71,6,196.8,4,scale_down
51.49,44.63,425.65,6,679.33,23,no_change
84.21,73.87,761.83,3,2389.1,234,scale_up
79.54,70.13,727.98,5,2180.32,60,scale_up
25.91,10.72,56.8,7,136.12,0,scale_down
46.58,73.09,308.12,6,462.97,64,no_change
63.33,62.23,199.88,6,421.06,68,no_change
56.16,49.51,252.94,6,758.44,30,no_change
41.12,56.32,417.46,4,549.13,20,no_change
22.56,43.95,318.93,2,750.45,5,no_change
10.83,33.78,11.04,8,158.21,17,scale_down
83.33,90.78,578.95,3,2370.25,173,scale_up
46.34,72.94,217.14,6,662.3,34,no_change
37.43,52.82,263.06,2,542.22,40,no_change
1.0,23.32,17.53,6,94.17,10,scale_down
26.67,34.16,350.05,5,667.68,5,no_change
59.96,34.6,321.48,6,507.69,68,no_change
64.32,56.39,234.35,5,756.09,40,no_change
19.06,8.9,1.0,6,82.62,15,scale_down
28.19,11.88,106.28,3,96.63,9,scale_down
76.78,87.04,938.83,5,2422.33,76,scale_up
60.14,37.98,383.3,4,636.0,75,no_change
44.52,51.42,406.06,2,658.78,38,no_change
1.0,27.13,74.44,5,131.05,15,scale_down
51.75,51.69,102.05,6,539.75,8,no_change
82.46,78.73,721.12,4,2465.14,267,scale_up
79.34,87.28,892.36,1,2744.17,146,scale_up
97.14,93.92,622.16,1,2337.67,214,scale_up
39.23,75.0,361.41,2,812.45,20,no_change
56.53,20.0,221.64,6,497.16,46,no_change
44.15,55.39,350.13,4,205.9,43,no_change
13.1,16.11,91.43,3,179.61,17,scale_down
83.72,81.79,546.95,4,2464.54,207,scale_up
82.23,73.54,997.13,2,2309.43,311,scale_up
80.34,75.16,854.89,3,2315.27,451,scale_up
85.21,70.37,641.68,2,1900.67,226,scale_up
83.63,79.67,776.0,2,2154.3,56,scale_up
30.05,26.79,85.65,5,173.21,17,scale_down
15.58,23.28,56.77,8,190.4,11,scale_down
35.37,60.87,316.71,2,328.94,29,no_change
85.6,69.55,719.75,3,2136.32,289,scale_up
74.45,79.57,810.27,4,2502.03,333,scale_up
11.37,22.2,47.14,8,129.09,0,scale_down
24.94,48.33,374.45,2,459.94,31,no_change
46.73,48.94,410.24,6,604.52,20,no_change
54.32,49.87,250.77,4,429.83,16,no_change
12.72,23.15,53.69,8,223.98,2,scale_down
64.19,68.61,100.0,2,836.9,21,no_change
86.87,83.27,934.4,1,2208.53,302,scale_up
77.51,91.58,684.77,1,1805.71,190,scale_up
46.49,44.21,300.38,4,585.27,13,no_change
94.43,83.67,671.33,5,1911.8,359,scale_up
44.18,44.24,248.53,3,434.74,32,no_change
54.36,43.17,204.82,3,672.82,65,no_change
21.78,18.03,103.44,5,260.78,12,scale_down
18.98,16.25,58.07,7,88.78,14,scale_down
78.9,66.54,705.73,4,1706.99,478,scale_up
59.36,38.76,327.66,2,712.19,77,no_change
67.57,44.7,331.06,4,651.38,27,no_change
69.08,61.75,430.33,6,350.3,11,no_change
9.69,28.25,67.42,3,143.75,11,scale_down
11.21,26.31,1.0,9,189.61,1,scale_down
15.73,16.09,65.07,5,130.7,9,scale_down
50.44,49.31,374.45,2,623.88,31,no_change
1.0,8.86,17.48,7,172.83,19,scale_down
88.9,93.36,647.84,3,2723.7,324,scale_up
20.93,50.27,324.52,2,636.24,77,no_change
82.83,80.94,614.72,4,2546.06,249,scale_up
17.0,22.9,41.63,6,133.6,13,scale_down
88.67,92.72,590.96,4,1622.37,229,scale_up
53.99,45.02,312.41,3,596.43,15,no_change
59.33,45.71,179.18,4,481.52,40,no_change
13.72,9.96,48.89,9,153.04,17,scale_down
44.63,53.14,138.57,4,457.02,9,no_change
32.86,63.2,530.62,6,467.88,45,no_change
46.47,39.6,322.12,4,508.74,53,no_change
54.24,59.98,177.62,2,640.73,73,no_change
1.0,17.95,40.29,10,138.54,13,scale_down
45.32,42.58,273.42,3,635.72,10,no_change
86.86,80.92,713.96,1,2632.13,193,scale_up
95.68,69.69,824.64,2,2012.74,173,scale_up
63.88,49.81,305.32,6,674.25,72,no_change
45.54,75.0,350.97,3,739.74,18,no_change
46.69,48.16,381.16,5,706.68,5,no_change
31.27,51.91,347.38,4,580.45,8,no_change
55.68,48.68,100.0,3,403.37,68,no_change
91.82,78.04,828.45,1,2198.54,62,scale_up
37.62,42.99,332.89,3,664.65,74,no_change
75.0,42.83,467.06,5,470.94,59,no_change
18.91,21.42,46.22,10,149.72,1,scale_down
40.66,63.56,215.74,3,647.63,54,no_change
90.29,91.07,945.77,2,2428.97,287,scale_up
80.54,73.71,629.21,5,1706.29,360,scale_up
14.99,14.18,85.98,9,121.05,6,scale_down
15.75,17.88,7.88,3,204.47,11,scale_down
89.87,86.48,889.24,4,1896.21,149,scale_up
9.08,23.62,96.29,5,169.3,6,scale_down
91.85,75.79,964.68,1,2032.21,338,scale_up
16.92,17.07,76.67,4,195.14,19,scale_down
27.85,69.88,537.64,6,546.7,74,no_change
84.11,89.92,810.02,4,2198.41,305,scale_up
98.28,69.17,681.66,4,2367.13,235,scale_up
73.66,77.02,742.68,4,2584.71,120,scale_up
89.85,66.53,696.03,5,1923.98,309,scale_up
46.75,33.54,345.16,5,495.87,29,no_change
19.71,19.98,20.81,5,219.41,16,scale_down
71.27,54.36,276.08,2,441.56,59,no_change
23.57,26.58,25.58,9,115.66,0,scale_down
88.2,70.6,706.15,4,1783.77,487,scale_up
34.87,39.2,390.6,6,336.82,13,no_change
56.5,53.87,396.83,3,638.56,67,no_change
11.97,13.48,79.71,7,174.85,5,scale_down
11.05,27.27,36.62,7,149.95,12,scale_down
80.77,84.27,650.87,1,2080.56,266,scale_up
9.76,22.11,61.65,4,94.79,14,scale_down
18.25,8.19,115.76,5,124.43,20,scale_down
92.34,81.61,836.27,5,1733.57,362,scale_up
62.65,50.73,347.01,6,586.39,61,no_change
85.91,72.9,777.07,1,2032.04,71,scale_up
9.36,21.08,60.9,6,162.54,8,scale_down
14.18,23.29,57.26,3,154.88,19,scale_down
16.33,29.46,13.85,8,134.07,8,scale_down
87.37,67.34,1007.39,5,2301.93,283,scale_up
22.66,28.96,62.37,3,50.0,8,scale_down
52.22,53.18,191.31,6,331.55,36,no_change
88.23,70.01,1109.21,4,2305.25,457,scale_up
94.46,80.25,912.73,4,2221.31,404,scale_up
23.04,3.69,76.64,5,183.44,12,scale_down
83.92,76.73,755.13,1,2313.11,160,scale_up
93.5,75.73,544.73,5,3193.83,402,scale_up
89.7,76.87,978.33,4,2573.48,432,scale_up
57.38,42.84,366.73,4,763.43,12,no_change
72.96,81.8,844.73,5,2306.43,345,scale_up
15.37,29.49,43.66,7,149.86,7,scale_down
54.73,47.33,161.4,6,632.12,68,no_change
53.38,44.52,286.77,2,200.0,32,no_change
24.67,27.21,9.87,5,116.23,20,scale_down
71.73,32.68,347.85,3,526.2,61,no_change
87.87,80.4,757.52,4,2355.41,426,scale_up
42.6,23.24,207.23,6,442.82,72,no_change
2.17,22.96,44.82,7,167.7,2,scale_down
88.65,86.05,861.04,3,1808.16,299,scale_up
19.64,21.77,115.7,4,150.4,7,scale_down
55.74,48.58,304.89,5,597.21,30,no_change
43.48,52.66,362.18,4,537.07,26,no_change
62.53,60.71,211.97,2,455.45,66,no_change
56.72,41.19,195.43,5,857.53,22,no_change
78.24,67.81,682.45,5,2292.66,358,scale_up
85.51,95.1,684.74,3,2294.46,176,scale_up
92.9,74.73,905.56,1,1500.0,304,scale_up
75.0,64.92,231.93,3,724.47,62,no_change
94.19,69.69,710.02,1,2738.43,230,scale_up
51.01,56.54,307.02,6,733.72,66,no_change
19.1,20.85,1.0,5,182.0,1,scale_down
20.83,10.08,14.85,3,175.88,14,scale_down
16.55,4.2,25.34,9,165.69,8,scale_down
60.15,41.24,285.25,2,468.1,47,no_change
25.59,21.4,29.97,7,92.18,13,scale_down
31.0,75.0,282.65,3,540.07,19,no_change
13.29,14.96,46.79,10,151.75,16,scale_down
50.23,31.06,389.24,5,517.06,48,no_change
40.12,39.44,194.75,4,640.17,48,no_change
63.42,39.16,115.69,4,445.93,24,no_change
81.86,70.15,710.19,5,1979.39,453,scale_up
14.88,8.36,67.4,10,233.05,5,scale_down
71.44,41.24,366.87,6,682.54,12,no_change
49.35,52.66,368.3,3,732.51,22,no_change
37.82,61.22,466.65,5,732.33,65,no_change
73.05,20.0,359.57,2,639.64,60,no_change
65.41,33.12,249.39,2,735.08,45,no_change
34.1,53.63,298.31,4,570.61,18,no_change
89.01,71.08,682.98,2,2144.3,274,scale_up
31.98,68.46,220.12,3,717.95,76,no_change
8.0,25.63,1.73,6,220.43,7,scale_down
67.03,41.71,217.44,3,668.67,73,no_change
27.11,50.52,219.24,6,561.85,72,no_change
9.85,13.61,101.14,5,189.03,11,scale_down
27.8,36.86,385.74,4,745.3,59,no_change
29.22,60.48,326.5,5,308.75,28,no_change
11.77,18.91,51.45,9,83.97,2,scale_down
79.66,75.02,719.65,3,1992.4,255,scale_up
13.94,22.48,103.23,7,193.54,20,scale_down
25.53,16.15,19.88,7,190.07,6,scale_down
14.87,25.84,23.53,4,182.43,9,scale_down
47.37,43.09,263.32,6,673.57,25,no_change
21.19,17.07,60.33,10,167.04,7,scale_down
61.08,64.8,481.12,2,530.22,56,no_change
95.22,80.94,635.78,1,1939.81,126,scale_up
56.99,60.86,198.37,5,485.42,41,no_change
42.0,37.05,111.99,2,267.1,79,no_change
44.27,53.78,365.56,2,395.65,41,no_change
29.82,42.08,300.33,2,751.32,77,no_change
60.77,44.48,336.02,2,473.47,5,no_change
85.52,79.5,1010.65,1,2397.42,270,scale_up
8.83,13.92,40.01,8,71.78,9,scale_down
83.39,78.85,869.98,3,2444.85,418,scale_up
85.69,66.96,616.84,1,1957.96,99,scale_up
20.22,24.95,42.52,7,267.99,12,scale_down
95.93,89.92,905.1,4,2383.42,422,scale_up
87.7,65.56,642.31,2,2111.15,461,scale_up
51.92,48.13,327.23,4,284.5,28,no_change
57.58,50.93,281.26,3,739.1,48,no_change
34.32,46.45,328.44,6,472.05,78,no_change
1.0,10.78,48.06,10,137.55,6,scale_down
84.87,74.73,603.16,2,2254.8,130,scale_up
83.83,85.1,687.85,4,1500.0,241,scale_up
20.0,43.98,312.79,5,565.15,77,no_change
41.52,26.13,111.06,2,655.09,62,no_change
83.41,77.09,568.74,5,1813.5,397,scale_up
50.68,54.27,283.58,2,806.89,20,no_change
41.37,69.3,321.69,2,616.22,32,no_change
63.99,40.64,267.08,4,416.47,5,no_change
64.03,55.03,409.78,4,630.73,9,no_change
66.55,38.79,398.72,5,540.33,39,no_change
85.02,85.83,1149.18,4,2528.02,265,scale_up
63.72,41.82,315.7,4,585.62,36,no_change
94.85,78.83,999.28,5,1679.34,380,scale_up
94.79,73.11,928.08,4,1854.27,223,scale_up
89.33,72.3,955.47,4,2538.1,394,scale_up
40.99,58.67,394.74,4,461.5,12,no_change
34.49,33.93,178.7,3,438.59,41,no_change
22.4,24.46,1.0,10,124.49,8,scale_down
76.9,86.89,732.55,4,1582.23,57,scale_up
86.19,84.85,656.95,3,2094.03,408,scale_up
7.78,29.95,37.06,8,113.91,6,scale_down
49.23,46.89,368.85,6,782.41,73,no_change
68.35,44.27,330.51,4,823.27,50,no_change
27.22,12.99,67.77,10,171.16,10,scale_down
22.41,29.95,18.77,5,115.47,1,scale_down
91.35,81.18,465.91,1,1533.49,394,scale_up
89.64,86.71,597.58,3,2639.67,133,scale_up
47.04,34.66,243.97,6,416.59,26,no_change
40.76,21.97,292.62,2,688.07,17,no_change
4.22,20.14,25.86,7,183.44,7,scale_down
70.0,85.7,527.34,2,2116.02,371,scale_up
39.37,44.59,147.06,3,849.02,68,no_change
4.71,10.34,103.84,7,166.14,9,scale_down
31.19,48.07,276.43,4,346.85,34,no_change
79.69,79.79,989.96,2,2124.47,353,scale_up
48.3,37.77,409.59,4,735.35,63,no_change
21.31,20.89,2.04,10,204.33,20,scale_down
50.86,45.37,344.85,2,633.63,42,no_change
33.96,45.19,109.59,5,612.9,63,no_change
94.31,65.64,819.29,4,2467.39,418,scale_up
90.71,74.03,634.67,5,1965.18,296,scale_up
93.34,66.32,617.6,5,2016.49,158,scale_up
35.36,49.37,441.45,4,419.43,18,no_change
13.83,19.93,39.96,3,71.08,13,scale_down
9.9,14.92,69.01,4,170.98,0,scale_down
74.14,76.9,724.96,5,2981.88,276,scale_up
17.34,11.38,26.7,7,131.07,5,scale_down
55.44,57.27,320.05,3,568.54,79,no_change
13.91,18.97,1.0,4,146.94,12,scale_down
41.34,25.21,541.79,3,646.7,20,no_change
85.09,77.03,909.53,2,1735.08,266,scale_up
12.5,12.38,71.65,8,108.66,19,scale_down
23.81,19.21,73.23,3,169.99,5,scale_down
92.41,72.52,935.84,5,1500.0,86,scale_up
85.3,75.63,589.32,3,1842.59,290,scale_up
9.87,18.43,34.25,4,154.0,11,scale_down
37.55,42.85,271.09,6,627.31,38,no_change
90.94,86.83,835.62,3,2372.1,243,scale_up
17.49,17.48,77.02,4,104.28,20,scale_down
70.66,71.67,1010.47,2,2081.83,196,scale_up
86.92,77.81,884.25,3,2228.29,190,scale_up
84.52,84.91,730.15,4,2348.83,404,scale_up
83.78,79.14,677.21,1,2113.62,262,scale_up
41.88,66.95,131.59,3,733.39,14,no_change
23.84,58.06,216.23,3,684.95,80,no_change
84.15,68.54,1003.79,3,2510.66,172,scale_up
88.52,74.88,921.66,4,1686.7,326,scale_up
20.0,26.57,207.8,4,486.77,46,no_change
43.48,44.14,235.02,5,282.55,31,no_change
52.88,46.03,230.37,2,809.7,24,no_change
13.06,20.47,73.88,4,75.51,20,scale_down
84.84,86.34,786.3,1,1678.66,143,scale_up
11.14,21.51,1.0,5,82.37,3,scale_down
75.0,57.27,448.35,6,729.95,15,no_change
87.76,77.53,857.18,3,2779.99,443,scale_up
21.6,21.33,44.83,6,174.92,14,scale_down
42.02,57.48,230.2,5,546.91,11,no_change
6.78,16.48,29.49,8,234.6,0,scale_down
7.84,23.08,21.59,8,152.34,20,scale_down
54.35,22.23,160.23,5,456.8,21,no_change
4.57,20.67,57.28,6,96.85,5,scale_down
15.99,16.61,47.02,5,118.58,8,scale_down
57.31,74.52,377.43,3,809.01,21,no_change
3.78,14.59,66.96,10,225.41,4,scale_down
89.55,71.79,734.8,4,2333.36,360,scale_up
13.68,13.61,41.29,7,149.28,15,scale_down
77.41,87.88,734.06,5,2170.97,368,scale_up
65.53,48.13,398.04,3,445.62,61,no_change
56.49,62.59,217.01,6,573.24,68,no_change
13.74,21.68,64.24,8,104.44,5,scale_down
49.1,73.87,405.39,3,719.08,80,no_change
47.11,75.0,402.98,3,605.61,54,no_change
16.76,16.33,61.8,4,179.65,16,scale_down
89.92,78.55,578.95,3,2296.72,187,scale_up
89.95,72.17,786.38,5,2736.59,329,scale_up
31.95,45.74,448.71,6,623.66,51,no_change
10.79,19.94,74.78,5,139.82,16,scale_down
89.18,81.88,847.56,2,2464.62,430,scale_up
45.58,35.83,347.44,2,580.14,58,no_change
43.28,57.9,427.73,4,576.81,18,no_change
85.06,70.55,766.6,5,2288.52,210,scale_up
84.86,77.1,908.88,3,2223.2,278,scale_up
75.0,53.12,100.0,6,433.2,68,no_change
57.98,40.35,241.88,4,414.12,47,no_change
42.85,52.91,338.58,3,447.02,31,no_change
90.64,70.47,865.69,4,2334.82,343,scale_up
35.98,34.2,338.23,3,516.02,14,no_change
47.14,60.31,347.91,3,462.61,43,no_change
49.2,35.98,386.99,4,830.48,54,no_change
37.32,49.53,391.75,6,603.63,59,no_change
58.42,50.77,194.32,5,617.84,53,no_change
24.02,22.51,98.71,3,61.42,4,scale_down
87.65,74.82,668.66,1,2733.77,460,scale_up
83.21,77.19,851.54,1,1500.0,137,scale_up
25.84,35.24,77.45,9,170.6,9,scale_down
46.75,33.87,419.41,6,737.45,50,no_change
56.75,55.0,330.06,6,521.11,64,no_change
100.0,77.72,735.99,1,2648.24,229,scale_up
84.8,79.85,1012.19,2,2471.45,216,scale_up
90.11,68.66,860.08,1,1797.76,497,scale_up
43.18,52.63,296.38,5,698.13,29,no_change
90.39,86.77,598.37,1,3145.06,219,scale_up
49.63,68.19,100.0,5,560.2,54,no_change
28.09,37.08,305.06,3,549.79,26,no_change
69.71,75.0,203.32,5,526.84,78,no_change
34.53,67.34,315.9,3,604.85,68,no_change
87.19,77.51,671.53,4,2220.42,446,scale_up
83.13,82.78,555.2,4,2274.54,313,scale_up
39.66,52.27,390.51,5,516.56,45,no_change
93.38,66.07,1031.57,1,2695.4,432,scale_up
36.7,36.83,150.5,3,738.21,38,no_change
45.04,43.94,187.72,3,871.8,73,no_change
7.22,20.19,56.48,3,130.07,14,scale_down
80.79,77.05,884.8,5,2061.18,148,scale_up
74.38,38.34,375.41,4,336.54,43,no_change
79.56,73.47,634.41,5,2313.39,187,scale_up
48.35,20.0,499.55,2,626.4,80,no_change
50.02,69.65,398.89,5,555.27,39,no_change
71.33,84.52,655.57,5,2695.71,438,scale_up
38.36,43.22,165.68,5,410.66,27,no_change
48.36,46.97,252.41,3,907.95,75,no_change
89.23,80.08,400.0,5,2530.31,416,scale_up
75.0,47.18,218.95,5,624.5,62,no_change
28.53,56.93,450.02,2,499.36,50,no_change
9.89,19.36,34.96,6,74.38,20,scale_down
11.92,15.3,91.0,8,207.77,0,scale_down
70.96,62.03,320.58,2,468.84,46,no_change
69.89,55.22,175.2,6,462.92,24,no_change
76.15,65.0,858.28,1,1704.85,454,scale_up
79.71,80.31,771.82,2,1914.62,95,scale_up
72.78,27.1,151.66,5,668.68,62,no_change
80.62,74.68,638.14,1,2335.28,294,scale_up
16.81,20.95,32.51,4,112.45,8,scale_down
83.86,87.73,1035.22,3,2644.54,262,scale_up
19.05,27.86,14.54,4,114.31,19,scale_down
19.2,19.05,60.13,9,198.97,14,scale_down
62.36,33.64,301.18,2,461.88,16,no_change
38.34,24.34,313.36,2,332.28,39,no_change
87.76,90.87,879.55,1,2220.76,443,scale_up
95.74,82.62,670.59,2,2250.04,250,scale_up
75.0,33.61,161.99,4,692.24,63,no_change
13.21,15.74,12.22,7,52.49,14,scale_down
3.35,32.92,49.73,9,51.88,11,scale_down
67.76,68.52,422.92,3,536.62,22,no_change
12.85,21.1,92.03,10,122.25,15,scale_down
38.68,60.44,420.93,2,592.08,12,no_change
89.69,80.9,762.31,4,1868.29,316,scale_up
76.92,75.08,653.59,1,2313.39,455,scale_up
68.26,53.06,207.93,3,728.31,35,no_change
87.08,83.96,722.09,5,2653.35,451,scale_up
92.9,78.53,907.77,4,2640.6,439,scale_up
43.02,48.78,307.98,2,435.33,44,no_change
56.62,65.34,285.61,2,650.98,58,no_change
70.98,43.92,336.03,5,514.53,47,no_change
80.82,82.74,836.21,4,2422.03,162,scale_up
51.14,56.98,466.55,2,758.99,46,no_change
87.37,84.04,755.16,3,2136.32,134,scale_up
18.94,20.7,73.79,3,213.35,15,scale_down
48.47,20.0,503.42,2,502.13,58,no_change
86.37,85.82,1011.35,2,2922.41,81,scale_up
44.54,67.85,319.8,5,1011.48,19,no_change
23.8,18.58,26.21,3,50.0,15,scale_down
89.72,88.07,911.82,1,1500.0,271,scale_up
4.94,23.85,103.57,9,147.22,19,scale_down
92.64,71.72,831.07,4,2090.14,483,scale_up
67.81,41.9,467.7,2,553.84,47,no_change
6.44,11.71,31.33,7,168.53,3,scale_down
80.73,73.44,933.47,5,1500.0,377,scale_up
43.55,29.99,213.14,5,636.56,61,no_change
46.92,45.57,418.95,3,597.96,18,no_change
29.45,25.7,21.0,7,246.7,13,scale_down
17.22,34.97,42.02,9,163.61,1,scale_down
18.46,18.66,88.16,7,246.63,19,scale_down
1.0,26.52,23.16,4,50.0,4,scale_down
88.62,84.15,902.02,5,2348.41,162,scale_up
91.13,75.18,839.5,4,2479.27,327,scale_up
25.82,20.35,43.59,10,147.24,14,scale_down
32.1,61.54,154.27,6,658.64,70,no_change
51.27,26.74,150.61,3,471.95,37,no_change
44.84,72.21,288.93,5,681.97,49,no_change
