cpu_percent,memory_percent,restart_count,response_time_ms,error_rate_percent,pod_phase,pod_phase_encoded,container_ready,oom_killed,network_errors,disk_pressure,pod_state_label
75.97,73.89,1,1694.31,5.02,Running,0,1,0,13,0,Warning
70.13,73.13,2,1973.76,4.27,Running,0,1,0,12,0,Warning
25.31,40.43,0,262.93,0.27,Running,0,1,0,3,0,Normal
32.42,15.87,0,162.01,0.22,Running,0,1,0,0,0,Normal
78.92,89.57,2,2045.99,5.0,Running,0,1,0,34,0,SLA_Violation
44.66,32.74,0,305.4,0.0,Running,0,1,0,2,0,Normal
67.64,75.89,2,1154.7,3.88,Running,0,1,1,9,0,Warning
23.99,32.08,0,251.86,1.43,Running,0,1,0,2,0,Normal
71.89,66.54,2,1746.76,2.28,Running,0,1,0,4,1,Warning
86.25,80.0,3,2000.0,7.39,Running,0,0,0,21,0,SLA_Violation
37.38,36.71,1,290.75,0.35,Running,0,1,0,0,0,Normal
60.17,69.24,1,1361.81,4.56,Running,0,1,0,13,0,Warning
33.44,17.37,0,325.93,0.31,Running,0,1,0,0,0,Normal
23.23,41.12,0,382.48,0.97,Running,0,1,0,2,0,Normal
21.61,31.91,0,326.5,0.99,Running,0,1,0,2,0,Normal
25.21,33.14,0,211.49,0.0,Running,0,1,0,3,0,Normal
38.13,48.56,0,294.24,1.0,Running,0,1,0,2,0,Normal
87.17,84.77,3,2680.7,10.08,Running,0,1,1,14,0,SLA_Violation
29.64,50.65,0,90.42,0.91,Running,0,1,0,0,0,Normal
30.87,32.01,0,307.34,0.0,Running,0,1,0,3,0,Normal
70.24,77.86,1,1943.37,2.98,Running,0,1,0,11,1,Warning
21.92,29.98,0,373.23,0.66,Running,0,1,0,2,0,Normal
81.82,90.57,3,2548.54,8.94,Running,0,1,0,33,1,SLA_Violation
22.98,31.72,0,268.63,0.0,Running,0,1,0,1,0,Normal
74.37,77.09,1,1501.53,3.27,Running,0,0,0,6,0,Warning
78.0,85.9,3,2328.64,5.4,Pending,1,0,0,20,0,SLA_Violation
28.39,39.04,0,450.89,0.59,Running,0,1,0,2,0,Normal
32.58,34.26,0,146.5,0.49,Running,0,1,0,0,0,Normal
30.6,59.63,0,284.61,0.65,Running,0,1,0,0,0,Normal
0.0,99.57,3,0.0,32.91,Pending,1,0,0,87,1,Failed
20.91,49.03,0,187.85,0.79,Running,0,1,0,1,0,Normal
98.14,83.05,3,2216.85,7.2,Pending,1,1,1,24,0,SLA_Violation
24.97,19.49,0,305.49,0.0,Running,0,1,0,1,0,Normal
75.79,67.64,1,1964.98,2.72,Running,0,1,0,3,1,Warning
26.78,43.14,0,201.53,0.61,Running,0,1,0,3,0,Normal
43.07,18.93,0,314.77,0.63,Running,0,1,0,3,0,Normal
37.82,22.63,0,194.36,0.76,Running,0,1,0,3,0,Normal
32.97,37.5,0,327.72,0.16,Running,0,1,0,3,0,Normal
32.32,37.93,0,242.85,1.43,Running,0,1,0,0,0,Normal
75.79,65.47,3,1696.97,2.53,Running,0,1,0,4,0,Warning
37.87,46.59,0,234.35,0.98,Running,0,1,0,3,0,Normal
34.13,43.22,0,451.74,0.38,Running,0,1,0,0,0,Normal
22.46,26.1,1,234.74,0.46,Running,0,1,0,0,0,Normal
33.41,37.77,2,366.17,0.51,Running,0,1,0,0,0,Normal
3.68,100.0,6,5625.67,16.43,CrashLoopBackOff,3,0,0,71,1,Failed
19.29,39.82,0,282.12,0.86,Running,0,1,0,3,0,Normal
34.73,34.27,0,232.26,0.0,Running,0,1,0,3,0,Normal
25.53,43.56,0,317.13,0.0,Running,0,1,0,3,0,Normal
31.73,38.85,0,229.29,0.58,Running,0,1,0,0,0,Normal
72.47,65.86,2,1607.34,4.06,Running,0,1,0,11,1,Warning
80.66,83.43,1,1086.7,2.56,Running,0,0,0,4,0,Warning
35.15,40.14,0,341.2,2.0,Running,0,1,0,1,0,Normal
76.57,84.08,1,1786.2,4.15,Running,0,1,0,8,1,Warning
26.85,42.59,0,238.17,0.38,Running,0,1,0,1,0,Normal
25.15,35.82,0,485.17,0.0,Running,0,1,0,2,0,Normal
36.86,18.87,1,262.25,1.04,Running,0,1,0,0,0,Normal
30.64,24.22,0,242.78,0.84,Running,0,1,0,0,0,Normal
22.7,37.16,0,303.65,0.17,Running,0,1,0,2,0,Normal
51.44,41.34,0,137.99,0.59,Running,0,1,0,0,0,Normal
81.03,92.26,3,2103.74,6.77,Running,0,0,1,29,1,SLA_Violation
88.03,92.33,3,2000.0,6.33,Pending,1,0,1,13,1,SLA_Violation
25.25,28.47,0,441.24,0.7,Running,0,1,0,0,0,Normal
78.0,92.59,2,3561.08,9.06,Running,0,1,0,31,1,SLA_Violation
14.81,30.16,0,401.35,0.15,Running,0,1,0,0,0,Normal
34.44,42.75,0,225.85,0.47,Running,0,1,0,2,0,Normal
2.0,24.76,0,279.79,0.0,Running,0,1,0,1,0,Normal
85.06,65.0,1,1367.99,3.63,Running,0,1,0,3,0,Warning
0.0,99.65,3,5010.23,15.18,CrashLoopBackOff,3,0,1,75,0,Failed
34.62,36.99,1,251.98,0.53,Running,0,1,0,0,0,Normal
93.84,97.65,4,6586.02,12.62,Unknown,4,0,1,72,1,Failed
97.8,80.0,5,2424.11,8.18,Running,0,1,1,15,1,SLA_Violation
32.81,28.77,0,283.35,0.25,Running,0,1,0,2,0,Normal
81.46,92.25,3,2678.51,5.61,Pending,1,0,0,15,1,SLA_Violation
39.0,38.07,1,365.03,0.81,Running,0,1,0,3,0,Normal
21.71,29.4,0,359.78,0.81,Running,0,1,0,3,0,Normal
29.79,36.17,0,402.21,0.2,Running,0,1,0,1,0,Normal
35.47,32.98,0,282.59,1.05,Running,0,1,0,3,0,Normal
38.25,43.14,1,404.44,0.51,Running,0,1,0,2,0,Normal
36.82,31.9,0,325.93,0.43,Running,0,1,0,2,0,Normal
95.29,91.73,10,7092.39,14.94,Pending,1,0,0,33,1,Failed
17.86,46.58,0,363.33,0.81,Running,0,1,0,3,0,Normal
77.03,74.9,2,1230.82,3.58,Running,0,1,0,14,0,Warning
66.58,82.8,2,1455.88,2.67,Running,0,0,0,6,0,Warning
26.79,39.13,0,254.9,0.09,Running,0,1,0,2,0,Normal
73.95,76.96,2,1347.92,3.03,Running,0,0,0,13,0,Warning
32.32,20.52,0,187.4,0.14,Running,0,1,0,1,0,Normal
27.87,38.11,0,418.03,0.93,Running,0,1,0,3,0,Normal
70.72,74.85,3,1199.24,3.48,Running,0,1,0,3,0,Warning
27.11,38.23,0,233.82,0.76,Running,0,1,0,2,0,Normal
45.33,33.91,0,332.14,0.85,Running,0,1,0,1,0,Normal
68.79,76.79,2,1503.78,3.6,Pending,1,1,0,7,0,Warning
65.82,75.2,1,1649.4,4.95,Running,0,1,0,6,0,Warning
39.59,56.53,0,238.61,0.94,Running,0,1,0,3,0,Normal
73.47,90.0,2,1257.51,2.66,Running,0,0,0,14,0,Warning
24.01,13.76,0,257.94,0.12,Running,0,1,0,0,0,Normal
6.71,100.0,10,0.0,19.23,Failed,2,0,1,86,1,Failed
64.81,78.94,3,1103.93,5.33,Running,0,1,0,11,1,Warning
81.44,71.25,3,986.06,4.85,Pending,1,1,0,11,0,Warning
94.66,88.62,4,0.0,25.05,CrashLoopBackOff,3,0,1,55,1,Failed
72.38,71.4,2,1686.85,2.43,Running,0,1,0,7,0,Warning
94.57,97.06,4,5711.61,13.75,Failed,2,0,0,73,1,Failed
60.0,85.22,1,1599.69,2.75,Running,0,1,1,12,1,Warning
45.51,36.16,1,394.34,0.53,Running,0,1,0,3,0,Normal
50.61,52.55,1,280.08,0.99,Running,0,1,0,2,0,Normal
88.87,94.84,5,2017.54,8.37,Unknown,4,1,1,27,1,SLA_Violation
