failure_type,failure_type_encoded,cpu_percent,memory_percent,restart_count,uptime_percent,replica_count,error_rate_percent,recovery_action,recovery_action_encoded
PodPending,4,87.51,80.23,1,53.61,4,12.0,restart_pod,0
ContainerNotReady,6,24.36,48.95,4,65.5,2,36.17,scale_up_replicas,2
HighMemory,3,56.76,94.48,2,80.15,1,1.84,restart_pod,0
OOMKilled,1,39.59,97.64,2,65.67,3,2.0,fix_configuration,4
HighCPU,2,91.84,38.61,0,86.05,3,9.65,scale_up_replicas,2
HighCPU,2,95.85,78.05,1,80.51,1,4.57,scale_up_replicas,2
UnknownFailure,9,23.89,32.9,8,46.46,4,1.55,no_action_monitor,7
HighMemory,3,80.49,82.0,2,93.7,4,9.74,fix_configuration,4
CrashLoopBackOff,0,50.0,27.71,8,36.27,2,24.52,fix_configuration,4
ConfigError,8,26.25,25.03,10,24.35,2,67.22,adjust_resource_limits,3
CrashLoopBackOff,0,73.69,45.47,11,61.64,3,14.91,rollout_restart_deployment,1
HighMemory,3,53.78,93.55,2,83.55,2,4.48,adjust_resource_limits,3
DiskPressure,7,40.89,48.29,1,72.22,2,4.85,clear_disk,6
HighMemory,3,30.49,90.63,0,83.5,3,4.29,adjust_resource_limits,3
UnknownFailure,9,38.02,38.74,2,55.42,5,12.05,drain_node,5
OOMKilled,1,52.58,88.7,3,76.53,4,12.68,adjust_resource_limits,3
CrashLoopBackOff,0,78.66,26.17,12,46.99,1,27.97,rollout_restart_deployment,1
PodPending,4,88.31,66.39,1,33.42,2,10.37,scale_up_replicas,2
ContainerNotReady,6,20.78,60.55,2,58.19,3,12.81,clear_disk,6
OOMKilled,1,62.2,99.82,8,74.16,2,25.08,adjust_resource_limits,3
HighCPU,2,100.0,41.17,2,92.51,4,0.43,scale_up_replicas,2
OOMKilled,1,58.5,94.79,1,82.43,1,24.38,adjust_resource_limits,3
ConfigError,8,25.7,27.98,8,47.63,3,50.93,fix_configuration,4
CrashLoopBackOff,0,38.78,78.85,8,83.44,3,28.58,fix_configuration,4
DiskPressure,7,48.56,56.22,2,58.88,3,3.33,clear_disk,6
DiskPressure,7,69.0,43.75,3,95.0,3,6.34,fix_configuration,4
UnknownFailure,9,60.04,64.02,2,46.66,2,9.88,no_action_monitor,7
OOMKilled,1,78.83,93.16,2,80.61,3,3.98,adjust_resource_limits,3
ConfigError,8,8.02,44.01,7,39.82,2,41.92,no_action_monitor,7
NetworkError,5,55.44,58.69,1,78.81,3,15.44,restart_pod,0
UnknownFailure,9,42.83,57.79,0,78.89,4,7.93,restart_pod,0
OOMKilled,1,53.41,95.8,6,82.87,4,21.04,adjust_resource_limits,3
HighMemory,3,37.4,89.93,3,70.71,2,7.7,adjust_resource_limits,3
OOMKilled,1,68.46,95.3,8,67.32,3,15.55,adjust_resource_limits,3
NetworkError,5,38.13,30.4,2,46.72,3,5.0,restart_pod,0
ContainerNotReady,6,54.01,47.45,5,70.44,2,30.12,restart_pod,0
UnknownFailure,9,18.61,6.61,7,72.68,5,14.35,no_action_monitor,7
ConfigError,8,2.69,28.6,5,34.0,3,37.89,fix_configuration,4
UnknownFailure,9,41.66,2.0,0,53.17,4,6.37,fix_configuration,4
ConfigError,8,25.57,23.42,2,49.58,1,20.0,rollout_restart_deployment,1
HighMemory,3,47.41,93.78,0,76.91,4,8.54,adjust_resource_limits,3
OOMKilled,1,13.91,97.19,8,63.61,3,9.11,adjust_resource_limits,3
HighMemory,3,74.87,96.81,1,90.35,1,12.12,clear_disk,6
ContainerNotReady,6,54.0,28.07,2,67.12,2,17.12,restart_pod,0
OOMKilled,1,85.0,98.31,2,68.11,4,22.02,rollout_restart_deployment,1
UnknownFailure,9,19.2,56.26,4,46.24,5,0.0,scale_up_replicas,2
CrashLoopBackOff,0,55.69,68.17,7,66.86,3,28.17,restart_pod,0
UnknownFailure,9,18.34,20.97,7,45.61,2,10.13,rollout_restart_deployment,1
UnknownFailure,9,76.9,76.51,4,32.03,3,6.45,no_action_monitor,7
ConfigError,8,12.8,2.0,10,48.49,1,46.31,fix_configuration,4
NetworkError,5,33.3,60.19,2,66.32,3,16.55,no_action_monitor,7
UnknownFailure,9,64.3,76.47,1,70.93,2,17.51,fix_configuration,4
DiskPressure,7,42.82,53.77,1,76.13,3,2.49,drain_node,5
HighCPU,2,89.16,75.67,2,99.0,3,9.78,scale_up_replicas,2
OOMKilled,1,23.53,90.74,5,58.09,1,16.08,adjust_resource_limits,3
UnknownFailure,9,2.0,35.28,5,93.14,5,19.86,rollout_restart_deployment,1
OOMKilled,1,39.82,93.7,5,75.67,4,22.48,adjust_resource_limits,3
ContainerNotReady,6,27.0,36.48,2,56.51,3,9.35,rollout_restart_deployment,1
HighMemory,3,56.7,89.52,0,67.39,1,7.94,adjust_resource_limits,3
ConfigError,8,24.83,31.96,6,28.48,2,20.25,fix_configuration,4
PodPending,4,88.74,76.69,0,32.19,7,2.97,scale_up_replicas,2
ConfigError,8,17.25,40.77,5,32.42,1,33.65,fix_configuration,4
NetworkError,5,44.78,42.59,1,33.21,3,25.3,restart_pod,0
HighMemory,3,85.0,82.0,3,67.64,4,0.0,adjust_resource_limits,3
ConfigError,8,19.25,34.9,7,41.58,3,70.88,fix_configuration,4
CrashLoopBackOff,0,56.61,84.04,9,77.4,3,25.97,rollout_restart_deployment,1
PodPending,4,85.53,75.05,2,45.39,6,8.25,scale_up_replicas,2
DiskPressure,7,43.73,75.13,2,71.7,3,2.14,clear_disk,6
CrashLoopBackOff,0,22.61,63.1,14,38.95,3,27.99,rollout_restart_deployment,1
UnknownFailure,9,83.19,57.31,1,63.51,4,11.71,drain_node,5
DiskPressure,7,29.56,42.14,1,73.05,2,4.54,clear_disk,6
OOMKilled,1,68.96,95.28,2,83.53,1,27.84,adjust_resource_limits,3
HighMemory,3,71.93,97.12,4,70.09,4,2.55,adjust_resource_limits,3
HighMemory,3,67.77,84.29,0,77.1,4,8.31,fix_configuration,4
HighCPU,2,99.07,51.19,1,79.8,3,5.96,scale_up_replicas,2
CrashLoopBackOff,0,18.53,46.53,7,59.88,1,29.72,scale_up_replicas,2
HighCPU,2,92.44,42.48,2,79.18,1,2.76,scale_up_replicas,2
UnknownFailure,9,9.5,58.55,3,82.89,1,18.37,clear_disk,6
ContainerNotReady,6,31.06,27.83,2,76.16,1,25.11,restart_pod,0
HighMemory,3,63.26,99.72,2,79.74,1,5.23,adjust_resource_limits,3
OOMKilled,1,42.0,90.32,5,76.61,3,14.16,restart_pod,0
PodPending,4,89.08,96.74,2,42.18,8,0.0,scale_up_replicas,2
PodPending,4,88.85,83.33,2,35.35,2,9.59,scale_up_replicas,2
HighCPU,2,95.93,40.8,2,82.59,1,9.43,rollout_restart_deployment,1
UnknownFailure,9,31.96,51.67,6,12.51,3,0.15,no_action_monitor,7
OOMKilled,1,53.15,98.68,7,56.38,1,15.6,adjust_resource_limits,3
NetworkError,5,29.36,54.3,3,46.73,1,23.44,restart_pod,0
UnknownFailure,9,33.66,55.58,1,66.38,3,9.99,scale_up_replicas,2
DiskPressure,7,52.17,55.65,0,73.67,1,3.29,clear_disk,6
DiskPressure,7,46.16,58.33,2,65.11,3,3.3,clear_disk,6
HighCPU,2,86.72,54.4,2,80.26,1,7.31,scale_up_replicas,2
UnknownFailure,9,66.82,26.93,2,64.95,4,17.11,no_action_monitor,7
OOMKilled,1,46.49,92.82,2,59.08,1,21.83,adjust_resource_limits,3
HighMemory,3,73.54,89.96,2,87.66,3,0.0,adjust_resource_limits,3
HighCPU,2,98.64,52.65,1,86.13,1,4.04,drain_node,5
HighCPU,2,98.98,39.09,3,96.8,4,6.19,scale_up_replicas,2
ContainerNotReady,6,44.34,35.06,4,45.38,3,27.44,restart_pod,0
HighCPU,2,93.56,75.42,2,83.45,2,3.74,drain_node,5
HighMemory,3,80.82,100.0,0,80.09,3,3.74,adjust_resource_limits,3
OOMKilled,1,66.21,94.24,4,75.99,1,12.93,clear_disk,6
UnknownFailure,9,89.1,32.51,4,74.61,2,8.09,clear_disk,6
PodPending,4,82.75,78.7,0,64.77,4,11.67,no_action_monitor,7
CrashLoopBackOff,0,51.15,47.84,13,62.1,1,38.98,rollout_restart_deployment,1
ConfigError,8,29.29,2.0,6,35.92,2,46.64,fix_configuration,4
HighMemory,3,70.04,90.67,2,87.19,2,2.76,adjust_resource_limits,3
HighMemory,3,63.9,95.5,3,65.26,3,13.54,adjust_resource_limits,3
OOMKilled,1,73.82,95.0,7,61.72,4,13.6,clear_disk,6
UnknownFailure,9,52.1,61.02,0,95.01,5,8.19,no_action_monitor,7
ContainerNotReady,6,43.44,20.61,3,58.8,1,23.01,adjust_resource_limits,3
PodPending,4,90.53,75.97,2,41.18,3,13.84,scale_up_replicas,2
ContainerNotReady,6,52.43,43.13,5,31.45,2,40.09,scale_up_replicas,2
NetworkError,5,34.7,35.31,3,57.16,1,23.01,restart_pod,0
NetworkError,5,40.8,54.26,5,51.11,2,17.5,rollout_restart_deployment,1
HighCPU,2,100.0,58.37,2,83.62,5,2.18,no_action_monitor,7
PodPending,4,89.05,90.25,2,67.49,8,6.96,fix_configuration,4
CrashLoopBackOff,0,47.23,83.43,9,76.06,3,22.16,rollout_restart_deployment,1
ContainerNotReady,6,5.0,44.45,2,76.98,2,11.29,restart_pod,0
UnknownFailure,9,49.78,43.41,7,67.09,4,7.64,no_action_monitor,7
NetworkError,5,54.36,42.22,4,51.81,1,27.34,restart_pod,0
ConfigError,8,7.36,37.84,2,54.87,1,70.85,fix_configuration,4
UnknownFailure,9,46.04,37.6,4,66.68,2,11.32,scale_up_replicas,2
ConfigError,8,13.47,19.46,9,34.5,1,32.45,fix_configuration,4
PodPending,4,90.42,81.58,2,43.83,6,3.56,clear_disk,6
ContainerNotReady,6,17.59,69.04,5,55.59,2,24.88,restart_pod,0
ContainerNotReady,6,37.44,5.0,5,90.0,3,25.47,restart_pod,0
UnknownFailure,9,30.81,49.29,0,42.02,4,26.61,no_action_monitor,7
OOMKilled,1,31.85,93.43,1,62.7,4,15.64,adjust_resource_limits,3
UnknownFailure,9,84.26,94.73,4,57.02,5,15.03,no_action_monitor,7
DiskPressure,7,46.23,40.28,0,95.0,1,6.73,restart_pod,0
ConfigError,8,21.89,40.82,9,58.18,1,51.23,fix_configuration,4
NetworkError,5,39.89,62.68,3,50.81,2,33.39,restart_pod,0
ContainerNotReady,6,31.62,62.87,3,64.92,1,22.7,rollout_restart_deployment,1
ConfigError,8,19.66,19.68,8,35.95,1,70.69,fix_configuration,4
OOMKilled,1,10.0,91.28,5,62.75,3,6.37,adjust_resource_limits,3
UnknownFailure,9,87.75,81.44,2,76.84,2,6.9,drain_node,5
PodPending,4,95.68,69.29,2,80.0,7,5.26,adjust_resource_limits,3
ContainerNotReady,6,31.07,33.56,3,48.9,1,35.4,restart_pod,0
PodPending,4,91.31,91.72,0,25.53,7,8.72,scale_up_replicas,2
NetworkError,5,42.82,44.06,5,47.59,1,28.6,fix_configuration,4
DiskPressure,7,46.82,40.68,0,56.45,1,5.21,clear_disk,6
PodPending,4,100.0,73.88,2,53.41,5,12.44,no_action_monitor,7
OOMKilled,1,24.61,93.56,3,61.4,3,22.88,adjust_resource_limits,3
DiskPressure,7,64.88,57.39,0,66.58,1,3.11,clear_disk,6
NetworkError,5,25.54,25.34,2,63.47,3,24.6,restart_pod,0
NetworkError,5,42.35,39.88,4,65.86,3,19.35,fix_configuration,4
HighCPU,2,85.51,57.4,2,80.33,5,0.96,no_action_monitor,7
OOMKilled,1,57.41,93.16,4,72.28,3,21.78,adjust_resource_limits,3
UnknownFailure,9,26.24,52.3,6,28.79,5,24.26,no_action_monitor,7
CrashLoopBackOff,0,12.82,39.7,6,80.08,2,27.65,rollout_restart_deployment,1
ConfigError,8,8.03,32.13,2,50.36,3,40.5,fix_configuration,4
OOMKilled,1,39.5,93.69,2,67.93,2,2.0,adjust_resource_limits,3
DiskPressure,7,42.28,81.76,3,66.04,3,2.83,clear_disk,6
NetworkError,5,17.25,49.18,5,83.05,3,29.44,restart_pod,0
HighMemory,3,41.28,93.5,2,94.34,3,7.53,adjust_resource_limits,3
HighCPU,2,94.39,47.93,3,86.76,4,8.71,clear_disk,6
NetworkError,5,39.92,21.28,4,58.16,1,29.67,restart_pod,0
HighMemory,3,64.87,91.6,3,74.46,2,9.57,adjust_resource_limits,3
CrashLoopBackOff,0,73.25,75.26,9,81.64,1,26.41,clear_disk,6
PodPending,4,81.0,80.75,1,50.77,3,13.72,scale_up_replicas,2
UnknownFailure,9,79.15,63.46,8,36.38,5,0.0,no_action_monitor,7
ContainerNotReady,6,38.61,53.2,2,63.81,1,35.32,clear_disk,6
OOMKilled,1,28.35,91.37,3,63.36,2,9.38,adjust_resource_limits,3
HighMemory,3,67.89,88.89,3,64.52,1,8.67,adjust_resource_limits,3
DiskPressure,7,18.6,38.93,0,58.77,2,4.41,clear_disk,6
HighMemory,3,62.79,100.0,2,89.14,3,10.32,fix_configuration,4
NetworkError,5,39.33,25.35,4,66.92,1,24.74,restart_pod,0
ContainerNotReady,6,45.56,32.91,2,72.33,2,12.54,fix_configuration,4
DiskPressure,7,29.35,38.26,0,75.25,3,1.64,clear_disk,6
UnknownFailure,9,39.38,72.57,7,44.42,4,7.97,fix_configuration,4
PodPending,4,85.57,83.98,1,40.01,6,11.15,no_action_monitor,7
